股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,成交量,成交额(万元)
002022,科华生物,2026-06-05,5.2900,5.3200,5.2000,5.2700,52020,2741.45
002023,海特高新,2026-06-05,11.3900,12.1900,11.1800,11.8600,573199,67981.40
002024,ST易购,2026-06-05,1.2600,1.2800,1.2500,1.2600,323643,4077.90
002025,航天电器,2026-06-05,67.9100,67.9100,64.2700,64.8000,229902,148976.50
002026,山东威达,2026-06-05,12.2700,12.6600,11.9500,12.4100,93476,11600.37
002027,分众传媒,2026-06-05,5.4400,5.5200,5.3600,5.3900,1538118,82904.56
002028,思源电气,2026-06-05,191.0500,192.7800,176.4600,177.4900,226660,402298.83
002029,七 匹 狼,2026-06-05,8.2100,8.4000,8.0700,8.1300,151481,12315.41
002030,达安基因,2026-06-05,6.1500,6.2600,6.0500,6.0900,365984,22288.43
002031,巨轮智能,2026-06-05,6.3200,6.8600,6.1000,6.6700,2681508,178856.58
002032,苏 泊 尔,2026-06-05,45.4500,46.0000,44.1100,44.1600,28919,12770.63
002035,华帝股份,2026-06-05,4.9900,5.0700,4.9700,5.0200,68551,3441.26
002036,联创电子,2026-06-05,8.8100,9.4500,8.4700,9.0900,901607,81956.08
002037,保利联合,2026-06-05,7.0600,7.2400,7.0000,7.1700,58151,4169.43
002038,双鹭药业,2026-06-05,5.6300,5.7400,5.5000,5.6000,214657,12020.79
002040,南 京 港,2026-06-05,8.7600,9.0500,8.7600,8.9400,85185,7615.54
002041,登海种业,2026-06-05,8.4900,8.6200,8.4300,8.4700,102056,8644.14
002042,华孚时尚,2026-06-05,3.8600,3.9700,3.7900,3.8800,358414,13906.46
002044,美年健康,2026-06-05,5.4700,5.5200,5.3000,5.3300,1034188,55122.22
002045,国光电器,2026-06-05,9.0400,9.3200,8.7700,9.1200,179531,16373.23
002046,国机精工,2026-06-05,56.7300,56.9500,54.4000,54.8800,184718,101373.24
002047,*ST宝鹰,2026-06-05,4.6900,4.8100,4.6400,4.7600,282485,13446.29
002048,宁波华翔,2026-06-05,25.1000,26.5700,24.1500,25.8500,282609,73054.43
002049,紫光国微,2026-06-05,76.0700,77.7500,73.0300,75.1400,379816,285393.74
002050,三花智控,2026-06-05,46.6100,49.3600,45.1700,47.5100,2016418,958000.19
002051,中工国际,2026-06-05,12.0800,12.4700,11.7100,11.7700,1145978,134881.61
002052,同洲电子,2026-06-05,9.2000,9.7900,9.0400,9.4200,178141,16780.88
002053,云南能投,2026-06-05,12.0800,12.3400,11.4400,11.4400,196431,22471.71
002054,德美化工,2026-06-05,7.5500,7.7300,7.4500,7.6000,91093,6923.07
002055,ST得润,2026-06-05,6.7300,6.8000,6.3800,6.4300,441313,28376.43
002056,横店东磁,2026-06-05,29.0100,30.1800,27.8200,29.1600,1119997,326591.13
002057,中钢天源,2026-06-05,9.8400,10.3400,9.7800,10.0600,399422,40181.85
002058,*ST威尔,2026-06-05,24.1500,24.4400,23.9600,24.2700,8085,1962.23
002060,广东建工,2026-06-05,3.5400,3.5900,3.4700,3.4900,390088,13614.07
002061,浙江交科,2026-06-05,3.5100,3.5500,3.4900,3.5000,176013,6160.46
002062,宏润建设,2026-06-05,8.0000,8.0000,7.7000,7.7900,222530,17335.09
002063,远光软件,2026-06-05,5.7000,5.7700,5.6500,5.6700,285109,16165.68
002065,东华软件,2026-06-05,7.2800,7.4000,7.2300,7.2800,339818,24738.75
002066,瑞泰科技,2026-06-05,24.0100,25.3700,23.3100,24.2200,86322,20907.19
002067,景兴纸业,2026-06-05,4.6800,4.8400,4.5800,4.7400,496414,23530.02
002068,黑猫股份,2026-06-05,10.6300,11.0900,10.5200,10.7600,370677,39884.85
002069,獐子岛,2026-06-05,3.3500,3.4300,3.3300,3.3900,113695,3854.26
002073,软控股份,2026-06-05,5.6100,5.8000,5.5600,5.7100,217321,12409.03
002074,国轩高科,2026-06-05,31.0200,31.0200,29.9500,30.0100,323785,97167.88
