code,name,industry,concept_tags,listed_date,total_shares,updated_at
880222,江西板块,,,,,2026-06-05 14:22:40.797648+00:00
880223,四川板块,,,,,2026-06-05 14:22:40.797648+00:00
880224,安徽板块,,,,,2026-06-05 14:22:40.797648+00:00
880225,重庆板块,,,,,2026-06-05 14:22:40.797648+00:00
880226,江苏板块,,,,,2026-06-05 14:22:40.797648+00:00
880227,云南板块,,,,,2026-06-05 14:22:40.797648+00:00
880228,浙江板块,,,,,2026-06-05 14:22:40.797648+00:00
880229,贵州板块,,,,,2026-06-05 14:22:40.797648+00:00
880230,海南板块,,,,,2026-06-05 14:22:40.797648+00:00
880231,西藏板块,,,,,2026-06-05 14:22:40.797648+00:00
880232,内蒙板块,,,,,2026-06-05 14:22:40.797648+00:00
880301,煤炭,,,,,2026-06-05 14:22:40.797648+00:00
880302,煤炭开采,,,,,2026-06-05 14:22:40.797648+00:00
880303,焦炭加工,,,,,2026-06-05 14:22:40.797648+00:00
880305,电力,,,,,2026-06-05 14:22:40.797648+00:00
880306,水力发电,,,,,2026-06-05 14:22:40.797648+00:00
880307,火力发电,,,,,2026-06-05 14:22:40.797648+00:00
880308,新型电力,,,,,2026-06-05 14:22:40.797648+00:00
880310,石油,,,,,2026-06-05 14:22:40.797648+00:00
880311,石油开采,,,,,2026-06-05 14:22:40.797648+00:00
880312,石油加工,,,,,2026-06-05 14:22:40.797648+00:00
880313,石油贸易,,,,,2026-06-05 14:22:40.797648+00:00
880318,钢铁,,,,,2026-06-05 14:22:40.797648+00:00
880319,普钢,,,,,2026-06-05 14:22:40.797648+00:00
880320,特种钢,,,,,2026-06-05 14:22:40.797648+00:00
880321,钢加工,,,,,2026-06-05 14:22:40.797648+00:00
880324,有色,,,,,2026-06-05 14:22:40.797648+00:00
880325,铜,,,,,2026-06-05 14:22:40.797648+00:00
880326,铝,,,,,2026-06-05 14:22:40.797648+00:00
880327,铅锌,,,,,2026-06-05 14:22:40.797648+00:00
880328,黄金,,,,,2026-06-05 14:22:40.797648+00:00
880329,小金属,,,,,2026-06-05 14:22:40.797648+00:00
880330,化纤,,,,,2026-06-05 14:22:40.797648+00:00
880335,化工,,,,,2026-06-05 14:22:40.797648+00:00
880336,化工原料,,,,,2026-06-05 14:22:40.797648+00:00
880337,农药化肥,,,,,2026-06-05 14:22:40.797648+00:00
880338,塑料,,,,,2026-06-05 14:22:40.797648+00:00
880339,橡胶,,,,,2026-06-05 14:22:40.797648+00:00
880340,染料涂料,,,,,2026-06-05 14:22:40.797648+00:00
880344,建材,,,,,2026-06-05 14:22:40.797648+00:00
880345,陶瓷,,,,,2026-06-05 14:22:40.797648+00:00
880346,水泥,,,,,2026-06-05 14:22:40.797648+00:00
880347,玻璃,,,,,2026-06-05 14:22:40.797648+00:00
880348,其他建材,,,,,2026-06-05 14:22:40.797648+00:00
880350,造纸,,,,,2026-06-05 14:22:40.797648+00:00
880351,矿物制品,,,,,2026-06-05 14:22:40.797648+00:00
880355,日用化工,,,,,2026-06-05 14:22:40.797648+00:00
880360,农林牧渔,,,,,2026-06-05 14:22:40.797648+00:00
880361,种植业,,,,,2026-06-05 14:22:40.797648+00:00
880362,渔业,,,,,2026-06-05 14:22:40.797648+00:00
880363,林业,,,,,2026-06-05 14:22:40.797648+00:00
880364,饲料,,,,,2026-06-05 14:22:40.797648+00:00
880366,农业综合,,,,,2026-06-05 14:22:40.797648+00:00
880367,纺织服饰,,,,,2026-06-05 14:22:40.797648+00:00
880368,纺织,,,,,2026-06-05 14:22:40.797648+00:00
880369,服饰,,,,,2026-06-05 14:22:40.797648+00:00
880372,食品饮料,,,,,2026-06-05 14:22:40.797648+00:00
880373,乳制品,,,,,2026-06-05 14:22:40.797648+00:00
880374,软饮料,,,,,2026-06-05 14:22:40.797648+00:00
880375,食品,,,,,2026-06-05 14:22:40.797648+00:00
880380,酿酒,,,,,2026-06-05 14:22:40.797648+00:00
880381,白酒,,,,,2026-06-05 14:22:40.797648+00:00
880382,啤酒,,,,,2026-06-05 14:22:40.797648+00:00
880383,红黄酒,,,,,2026-06-05 14:22:40.797648+00:00
880387,家用电器,,,,,2026-06-05 14:22:40.797648+00:00
880390,汽车类,,,,,2026-06-05 14:22:40.797648+00:00
880391,汽车整车,,,,,2026-06-05 14:22:40.797648+00:00
880392,汽车配件,,,,,2026-06-05 14:22:40.797648+00:00
880393,汽车服务,,,,,2026-06-05 14:22:40.797648+00:00
880394,摩托车,,,,,2026-06-05 14:22:40.797648+00:00
880398,医疗保健,,,,,2026-06-05 14:22:40.797648+00:00
880399,家居用品,,,,,2026-06-05 14:22:40.797648+00:00
880400,医药,,,,,2026-06-05 14:22:40.797648+00:00
880401,化学制药,,,,,2026-06-05 14:22:40.797648+00:00
880402,生物制药,,,,,2026-06-05 14:22:40.797648+00:00
880403,中成药,,,,,2026-06-05 14:22:40.797648+00:00
880406,商业连锁,,,,,2026-06-05 14:22:40.797648+00:00
880407,百货,,,,,2026-06-05 14:22:40.797648+00:00
880408,超市连锁,,,,,2026-06-05 14:22:40.797648+00:00
880409,电器连锁,,,,,2026-06-05 14:22:40.797648+00:00
880410,医药商业,,,,,2026-06-05 14:22:40.797648+00:00
880411,其他商业,,,,,2026-06-05 14:22:40.797648+00:00
880412,商品城,,,,,2026-06-05 14:22:40.797648+00:00
880413,批发业,,,,,2026-06-05 14:22:40.797648+00:00
880414,商贸代理,,,,,2026-06-05 14:22:40.797648+00:00
880418,传媒娱乐,,,,,2026-06-05 14:22:40.797648+00:00
880419,出版业,,,,,2026-06-05 14:22:40.797648+00:00
880420,影视音像,,,,,2026-06-05 14:22:40.797648+00:00
880421,广告包装,,,,,2026-06-05 14:22:40.797648+00:00
880422,文教休闲,,,,,2026-06-05 14:22:40.797648+00:00
880423,酒店餐饮,,,,,2026-06-05 14:22:40.797648+00:00
880424,旅游,,,,,2026-06-05 14:22:40.797648+00:00
880425,旅游服务,,,,,2026-06-05 14:22:40.797648+00:00
880426,旅游景点,,,,,2026-06-05 14:22:40.797648+00:00
880430,航空,,,,,2026-06-05 14:22:40.797648+00:00
880431,船舶,,,,,2026-06-05 14:22:40.797648+00:00
880432,运输设备,,,,,2026-06-05 14:22:40.797648+00:00
880437,通用机械,,,,,2026-06-05 14:22:40.797648+00:00
880438,机床制造,,,,,2026-06-05 14:22:40.797648+00:00
880439,机械基件,,,,,2026-06-05 14:22:40.797648+00:00
880440,工业机械,,,,,2026-06-05 14:22:40.797648+00:00
880441,化工机械,,,,,2026-06-05 14:22:40.797648+00:00
880442,轻工机械,,,,,2026-06-05 14:22:40.797648+00:00
880443,纺织机械,,,,,2026-06-05 14:22:40.797648+00:00
880444,农用机械,,,,,2026-06-05 14:22:40.797648+00:00
880445,专用机械,,,,,2026-06-05 14:22:40.797648+00:00
880446,电气设备,,,,,2026-06-05 14:22:40.797648+00:00
880447,工程机械,,,,,2026-06-05 14:22:40.797648+00:00
880448,电器仪表,,,,,2026-06-05 14:22:40.797648+00:00
880452,电信运营,,,,,2026-06-05 14:22:40.797648+00:00
880453,公共交通,,,,,2026-06-05 14:22:40.797648+00:00
880454,水务,,,,,2026-06-05 14:22:40.797648+00:00
880455,供气供热,,,,,2026-06-05 14:22:40.797648+00:00
880456,环境保护,,,,,2026-06-05 14:22:40.797648+00:00
880459,运输服务,,,,,2026-06-05 14:22:40.797648+00:00
880460,铁路,,,,,2026-06-05 14:22:40.797648+00:00
880461,水运,,,,,2026-06-05 14:22:40.797648+00:00
880462,空运,,,,,2026-06-05 14:22:40.797648+00:00
880463,公路,,,,,2026-06-05 14:22:40.797648+00:00
880464,仓储物流,,,,,2026-06-05 14:22:40.797648+00:00
880465,交通设施,,,,,2026-06-05 14:22:40.797648+00:00
880466,路桥,,,,,2026-06-05 14:22:40.797648+00:00
880467,机场,,,,,2026-06-05 14:22:40.797648+00:00
880468,港口,,,,,2026-06-05 14:22:40.797648+00:00
880471,银行,,,,,2026-06-05 14:22:40.797648+00:00
880472,证券,,,,,2026-06-05 14:22:40.797648+00:00
880473,保险,,,,,2026-06-05 14:22:40.797648+00:00
880474,多元金融,,,,,2026-06-05 14:22:40.797648+00:00
880476,建筑,,,,,2026-06-05 14:22:40.797648+00:00
880477,建筑工程,,,,,2026-06-05 14:22:40.797648+00:00
880478,装修装饰,,,,,2026-06-05 14:22:40.797648+00:00
880482,房地产,,,,,2026-06-05 14:22:40.797648+00:00
880483,全国地产,,,,,2026-06-05 14:22:40.797648+00:00
880484,区域地产,,,,,2026-06-05 14:22:40.797648+00:00
880485,园区开发,,,,,2026-06-05 14:22:40.797648+00:00
880486,房产服务,,,,,2026-06-05 14:22:40.797648+00:00
880489,IT设备,,,,,2026-06-05 14:22:40.797648+00:00
880490,通信设备,,,,,2026-06-05 14:22:40.797648+00:00
880491,半导体,,,,,2026-06-05 14:22:40.797648+00:00
880492,元器件,,,,,2026-06-05 14:22:40.797648+00:00
880493,软件服务,,,,,2026-06-05 14:22:40.797648+00:00
880494,互联网,,,,,2026-06-05 14:22:40.797648+00:00
880497,综合类,,,,,2026-06-05 14:22:40.797648+00:00
880501,含H股,,,,,2026-06-05 14:22:40.797648+00:00
880502,含B股,,,,,2026-06-05 14:22:40.797648+00:00
880505,稀缺资源,,,,,2026-06-05 14:22:40.797648+00:00
880506,5G概念,,,,,2026-06-05 14:22:40.797648+00:00
880507,国防军工,,,,,2026-06-05 14:22:40.797648+00:00
880513,海峡西岸,,,,,2026-06-05 14:22:40.797648+00:00
880515,通达信88,,,,,2026-06-05 14:22:40.797648+00:00
880516,ST板块,,,,,2026-06-05 14:22:40.797648+00:00
880519,碳中和,,,,,2026-06-05 14:22:40.797648+00:00
880520,智能电网,,,,,2026-06-05 14:22:40.797648+00:00
880521,黄金概念,,,,,2026-06-05 14:22:40.797648+00:00
880522,低空经济,,,,,2026-06-05 14:22:40.797648+00:00
880523,铜缆高速,,,,,2026-06-05 14:22:40.797648+00:00
