id,pick_date,stock_code,rank,score,signal_tags,risk_level,suggestion
126,2026-05-20,600339,26,2.52,,,
118,2026-05-20,301018,27,-1.51,,,
138,2026-05-20,688150,28,-3.17,,,
145,2026-05-20,688502,30,2.25,,,
103,2026-05-20,001332,31,7.19,,,
146,2026-05-20,688536,32,7.41,,,
112,2026-05-20,300316,33,3.00,,,
122,2026-05-20,301222,34,-2.15,,,
117,2026-05-20,300990,35,0.89,,,
111,2026-05-20,300166,36,0.86,,,
129,2026-05-20,603022,38,-3.08,,,
130,2026-05-20,603162,39,-1.50,,,
108,2026-05-20,002484,40,4.95,,,
136,2026-05-20,688120,41,1.27,,,
120,2026-05-20,301182,42,-0.17,,,
142,2026-05-20,688409,43,2.40,,,
113,2026-05-20,300616,45,-3.35,,,
143,2026-05-20,688419,47,1.94,,,
135,2026-05-20,688107,49,0.12,,,
115,2026-05-20,300894,50,-3.39,,,
17,2026-05-22,300865,31,-2.34,,,
209,2026-05-12,002787,13,9.98,,,
204,2026-05-12,002518,15,-1.29,,,
207,2026-05-12,002654,16,2.62,,,
211,2026-05-12,002853,21,-1.18,,,
214,2026-05-12,300265,26,-2.04,,,
208,2026-05-12,002785,34,1.47,,,
205,2026-05-12,002569,38,-0.50,,,
203,2026-05-12,002466,39,-0.51,,,
206,2026-05-12,002585,49,-4.37,,,
178,2026-05-19,600388,2,-4.05,,,
185,2026-05-19,603779,3,-3.49,,,
170,2026-05-19,300936,5,2.88,,,
186,2026-05-19,605168,6,1.33,,,
160,2026-05-19,300123,8,0.85,,,
158,2026-05-19,002484,9,4.95,,,
184,2026-05-19,603466,11,2.33,,,
173,2026-05-19,301139,12,2.10,,,
159,2026-05-19,002980,13,9.16,,,
175,2026-05-19,301603,14,-2.42,,,
183,2026-05-19,603162,15,-1.50,,,
195,2026-05-19,688449,18,1.32,,,
155,2026-05-19,001339,19,0.65,,,
163,2026-05-19,300179,20,7.52,,,
166,2026-05-19,300432,21,-1.67,,,
181,2026-05-19,603022,22,-3.08,,,
171,2026-05-19,301018,23,-1.51,,,
167,2026-05-19,300613,25,2.19,,,
174,2026-05-19,301217,26,3.64,,,
192,2026-05-19,688170,27,1.23,,,
190,2026-05-19,688126,28,2.31,,,
191,2026-05-19,688150,29,-3.17,,,
172,2026-05-19,301120,30,2.31,,,
165,2026-05-19,300212,31,-0.53,,,
153,2026-05-19,000988,32,3.44,,,
196,2026-05-19,688515,33,13.59,,,
189,2026-05-19,688099,34,-0.69,,,
177,2026-05-19,600110,36,1.69,,,
198,2026-05-19,688610,37,3.84,,,
156,2026-05-19,002169,38,2.80,,,
197,2026-05-19,688536,39,7.41,,,
182,2026-05-19,603082,40,0.06,,,
168,2026-05-19,300749,41,3.88,,,
164,2026-05-19,300201,42,-4.99,,,
194,2026-05-19,688220,43,0.63,,,
169,2026-05-19,300779,44,3.95,,,
152,2026-05-19,000672,45,1.68,,,
200,2026-05-19,688695,46,-2.25,,,
193,2026-05-19,688210,47,-1.90,,,
188,2026-05-19,688066,48,0.42,,,
187,2026-05-19,688019,50,1.76,,,
67,2026-05-21,300123,4,0.85,,,
154,2026-05-19,001259,1,10.00,,,
215,2026-05-12,300449,1,2.07,,,
217,2026-05-12,300720,4,8.06,,,
226,2026-05-12,600549,5,7.53,,,
222,2026-05-12,301150,6,-1.01,,,
225,2026-05-12,600545,7,-1.37,,,
228,2026-05-12,600726,8,5.09,,,
248,2026-05-12,688699,9,-0.94,,,
224,2026-05-12,600312,11,-2.71,,,
216,2026-05-12,300626,12,0.93,,,
242,2026-05-12,688150,14,-3.17,,,
212,2026-05-12,300102,17,2.55,,,
244,2026-05-12,688256,18,6.01,,,
240,2026-05-12,688120,19,1.27,,,
241,2026-05-12,688146,20,-4.86,,,
237,2026-05-12,603938,22,10.01,,,
221,2026-05-12,301119,23,-1.03,,,
218,2026-05-12,300821,24,10.42,,,
245,2026-05-12,688275,27,-0.56,,,
219,2026-05-12,300983,28,2.31,,,
229,2026-05-12,601168,30,-0.64,,,
233,2026-05-12,603773,31,-2.61,,,
220,2026-05-12,301093,32,11.19,,,
231,2026-05-12,603389,35,-0.53,,,
234,2026-05-12,603803,36,-0.15,,,
239,2026-05-12,688019,37,1.76,,,
223,2026-05-12,600076,41,0.27,,,
243,2026-05-12,688167,42,8.23,,,
238,2026-05-12,605068,43,-0.45,,,
246,2026-05-12,688307,44,5.47,,,
210,2026-05-12,002845,45,-0.46,,,
235,2026-05-12,603816,46,-0.31,,,
247,2026-05-12,688663,47,5.21,,,
232,2026-05-12,603466,48,2.33,,,
258,2026-05-11,002629,1,-1.81,,,
306,2026-05-27,002082,3,-4.98,,,
318,2026-05-27,300936,5,2.88,,,
320,2026-05-27,300979,7,-2.39,,,
316,2026-05-27,300715,8,5.29,,,
309,2026-05-27,002875,10,9.98,,,
313,2026-05-27,300386,13,-1.28,,,
319,2026-05-27,300942,14,-1.94,,,
329,2026-05-27,600956,15,-1.22,,,
308,2026-05-27,002726,16,-4.52,,,
336,2026-05-27,603778,17,1.31,,,
310,2026-05-27,002881,18,-5.92,,,
331,2026-05-27,600982,19,5.49,,,
347,2026-05-27,688368,20,-1.82,,,
334,2026-05-27,603165,21,-2.26,,,
345,2026-05-27,688178,22,-4.25,,,
305,2026-05-27,001313,25,-6.06,,,
325,2026-05-27,600228,27,-3.77,,,
350,2026-05-27,688700,29,0.85,,,
342,2026-05-27,688109,30,-1.89,,,
340,2026-05-27,688003,31,13.80,,,
343,2026-05-27,688120,34,1.27,,,
303,2026-05-27,001215,37,-0.38,,,
339,2026-05-27,605111,38,4.27,,,
304,2026-05-27,001258,39,4.62,,,
307,2026-05-27,002373,40,-1.52,,,
312,2026-05-27,300301,41,2.38,,,
317,2026-05-27,300926,43,-0.05,,,
327,2026-05-27,600491,44,-2.84,,,
323,2026-05-27,301357,45,2.15,,,
326,2026-05-27,600246,46,9.80,,,
321,2026-05-27,301309,48,-1.81,,,
348,2026-05-27,688381,50,6.39,,,
141,2026-05-20,688401,46,-6.49,,,
277,2026-05-11,600545,2,-1.37,,,
275,2026-05-11,600234,3,0.90,,,
271,2026-05-11,301319,4,1.75,,,
269,2026-05-11,300997,5,1.24,,,
299,2026-05-11,688699,6,-0.94,,,
284,2026-05-11,603332,7,0.99,,,
282,2026-05-11,603269,8,1.13,,,
295,2026-05-11,688536,9,7.41,,,
266,2026-05-11,300604,10,3.19,,,
281,2026-05-11,603256,11,-0.72,,,
264,2026-05-11,300433,12,7.66,,,
280,2026-05-11,601991,13,-0.87,,,
291,2026-05-11,688112,14,13.26,,,
296,2026-05-11,688627,15,2.10,,,
290,2026-05-11,688096,18,0.39,,,
293,2026-05-11,688167,19,8.23,,,
300,2026-05-11,688766,20,0.53,,,
292,2026-05-11,688147,21,3.58,,,
263,2026-05-11,300351,22,1.46,,,
276,2026-05-11,600259,23,5.20,,,
286,2026-05-11,603843,24,2.16,,,
255,2026-05-11,002066,25,-2.41,,,
294,2026-05-11,688256,26,6.01,,,
257,2026-05-11,002518,27,-1.29,,,
287,2026-05-11,603938,28,10.01,,,
285,2026-05-11,603773,29,-2.61,,,
273,2026-05-11,600053,30,-4.33,,,
265,2026-05-11,300480,31,1.62,,,
270,2026-05-11,301119,32,-1.03,,,
289,2026-05-11,688072,33,3.27,,,
268,2026-05-11,300983,35,2.31,,,
254,2026-05-11,001287,36,-0.15,,,
283,2026-05-11,603279,37,-2.65,,,
253,2026-05-11,001282,39,-1.94,,,
298,2026-05-11,688679,40,0.47,,,
252,2026-05-11,001211,41,-1.53,,,
261,2026-05-11,300084,42,0.59,,,
256,2026-05-11,002350,43,-2.04,,,
274,2026-05-11,600078,44,10.01,,,
288,2026-05-11,605167,45,-2.39,,,
262,2026-05-11,300212,46,-0.53,,,
272,2026-05-11,301381,48,-2.76,,,
260,2026-05-11,002837,49,1.23,,,
267,2026-05-11,300619,50,-0.34,,,
315,2026-05-27,300613,2,2.19,,,
356,2026-05-26,002082,3,-4.98,,,
397,2026-05-26,688308,5,6.80,,,
394,2026-05-26,688170,6,1.23,,,
379,2026-05-26,600725,7,1.52,,,
399,2026-05-26,688371,8,6.27,,,
393,2026-05-26,688120,9,1.27,,,
363,2026-05-26,300085,10,-15.51,,,
383,2026-05-26,601888,11,0.19,,,
380,2026-05-26,600900,12,-0.25,,,
382,2026-05-26,601595,13,-3.73,,,
375,2026-05-26,600162,14,4.36,,,
360,2026-05-26,002691,15,-5.01,,,
395,2026-05-26,688210,16,-1.90,,,
366,2026-05-26,300715,17,5.29,,,
377,2026-05-26,600246,18,9.80,,,
376,2026-05-26,600183,19,0.01,,,
358,2026-05-26,002484,20,4.95,,,
374,2026-05-26,600023,23,0.47,,,
361,2026-05-26,002815,24,3.03,,,
352,2026-05-26,000962,26,1.26,,,
381,2026-05-26,600971,27,2.52,,,
390,2026-05-26,688017,28,2.90,,,
391,2026-05-26,688082,29,12.39,,,
386,2026-05-26,603286,30,-0.48,,,
388,2026-05-26,605055,31,-1.83,,,
371,2026-05-26,301186,32,-1.50,,,
353,2026-05-26,001286,33,-1.07,,,
387,2026-05-26,603823,34,1.73,,,
368,2026-05-26,300941,35,-1.56,,,
400,2026-05-26,688757,36,-1.88,,,
357,2026-05-26,002432,37,1.18,,,
362,2026-05-26,002831,38,-0.02,,,
392,2026-05-26,688109,39,-1.89,,,
373,2026-05-26,301587,41,0.62,,,
378,2026-05-26,600491,42,-2.84,,,
369,2026-05-26,300996,43,-3.34,,,
372,2026-05-26,301312,44,-3.95,,,
398,2026-05-26,688315,46,-2.13,,,
355,2026-05-26,002055,47,-5.01,,,
359,2026-05-26,002628,48,1.59,,,
354,2026-05-26,001313,49,-6.06,,,
384,2026-05-26,603186,50,-2.52,,,
508,2026-05-08,002317,1,-2.27,,,
346,2026-05-27,688308,4,6.80,,,
335,2026-05-27,603256,6,-0.72,,,
338,2026-05-27,603989,9,-1.89,,,
337,2026-05-27,603823,11,1.73,,,
333,2026-05-27,601888,12,0.19,,,
344,2026-05-27,688170,28,1.23,,,
420,2026-05-07,300807,1,-3.26,,,
453,2026-05-14,001267,11,5.46,,,
458,2026-05-14,002547,12,-2.93,,,
482,2026-05-14,601869,13,8.87,,,
456,2026-05-14,002514,14,-5.00,,,
472,2026-05-14,300560,17,0.16,,,
495,2026-05-14,688478,18,0.57,,,
488,2026-05-14,605389,19,2.32,,,
473,2026-05-14,300757,20,5.70,,,
497,2026-05-14,688531,21,2.72,,,
486,2026-05-14,603936,22,-1.90,,,
493,2026-05-14,688300,23,-9.13,,,
500,2026-05-14,688693,24,3.12,,,
462,2026-05-14,002816,25,-0.96,,,
468,2026-05-14,300285,26,3.46,,,
