code,trade_date,pe,pb,ps,total_market_cap,circulating_market_cap
000096,2026-06-05,34.9800,1.5500,,4276800000.00,
000099,2026-06-05,12.6600,2.1100,,11791707562.50,
000100,2026-06-05,6.5400,1.6200,,101716217625.00,
000153,2026-06-05,7.0300,1.1900,,2602238843.75,
000155,2026-06-05,9.2500,2.3000,,24683269920.31,
000156,2026-06-05,11.0200,0.8200,,12414647750.00,
000157,2026-06-05,7.3600,1.1200,,65036983200.00,
000159,2026-06-05,46.1300,1.6300,,3364802109.38,
000166,2026-06-05,4.6000,0.9500,,108422961850.00,
000301,2026-06-05,5.4700,2.2600,,78343105125.00,
000338,2026-06-05,8.7400,2.8400,,269565932950.00,
000400,2026-06-05,21.2700,1.9200,,23621850339.84,
000402,2026-06-05,2.5400,0.4400,,8757564900.00,
000403,2026-06-05,52.6700,1.4900,,12098559180.47,
000404,2026-06-05,4.9600,1.3000,,5721087248.44,
000407,2026-06-05,10.2200,1.1900,,3678753993.75,
000408,2026-06-05,7.5800,6.7700,,119363029425.00,
000409,2026-06-05,32.7600,3.9400,,6472516976.56,
000411,2026-06-05,8.0300,1.1900,,6433631266.80,
000415,2026-06-05,2.6500,0.8100,,24057787662.50,
000417,2026-06-05,9.1000,1.2300,,5849131640.63,
000419,2026-06-05,9.9000,0.8100,,2777707573.05,
000420,2026-06-05,40.4300,2.4800,,11015729900.00,
000421,2026-06-05,4.5700,1.1700,,3308634450.00,
000422,2026-06-05,7.9400,2.3100,,14388745415.63,
000423,2026-06-05,7.0200,2.9600,,31941249125.00,
000425,2026-06-05,5.4200,1.7800,,111490719200.00,
000426,2026-06-05,5.0500,6.2500,,67616210550.00,
000055,2026-06-06,13.9800,0.7100,,3941118382.81,
000429,2026-06-05,6.3800,2.5000,,28811307971.88,
000430,2026-06-05,2.2100,3.7200,,6760455511.72,
000058,2026-06-06,35.2300,4.2700,,8704588971.09,
000498,2026-06-05,4.7800,0.4800,,8010597656.25,
000501,2026-06-05,4.5300,0.5100,,5590577178.91,
000059,2026-06-06,16.7000,0.7600,,7405418775.00,
000504,2026-06-05,25.3300,10.1500,,2811796692.19,
000505,2026-06-05,51.4500,1.4600,,4187233350.00,
000506,2026-06-05,7.0400,14.8400,,13192051828.13,
000507,2026-06-05,6.9100,0.7900,,4709042800.00,
000060,2026-06-06,6.5700,1.6600,,33086735125.00,
000061,2026-06-06,9.1300,1.4300,,12326609362.50,
000513,2026-06-05,4.7200,1.8800,,27223234368.75,
000514,2026-06-05,11.4700,1.0100,,3704154415.62,
000062,2026-06-06,17.5200,5.1300,,35205306932.81,
000063,2026-06-06,14.2800,2.4400,,187179724550.00,
000065,2026-06-06,13.0400,1.2900,,14401883125.00,
000519,2026-06-05,49.1000,2.5800,,26820684534.38,
300197,2026-06-05,0.0000,0.0000,,1108156416.00,0.00
000520,2026-06-05,141.0000,11.0600,,4655583812.50,
000521,2026-06-05,8.4200,0.9700,,5911762773.44,
300212,2026-06-05,0.0000,0.0000,,445730272.00,0.00
000523,2026-06-05,11.8700,2.8700,,5634888103.13,
000524,2026-06-05,18.7000,2.6600,,6145812804.69,
000525,2026-06-05,184.8300,2.3800,,5916339660.94,
000526,2026-06-05,3.6700,3.2000,,3328026737.01,
000528,2026-06-05,2.8700,0.9100,,17375291457.81,
000530,2026-06-05,25.1100,1.6800,,5320670875.00,
000531,2026-06-05,3.8700,1.0800,,7487675549.22,
600246,2026-06-06,0.0000,7.4000,,33788552625.00,
000533,2026-06-05,46.1900,7.9300,,7813129136.72,
000534,2026-06-05,21.3800,9.6400,,16560326757.81,
600252,2026-06-06,0.0000,1.3700,,7196208662.50,
000537,2026-06-05,23.3800,1.0500,,20803865843.75,
000538,2026-06-05,4.2700,2.0700,,87089860251.56,
600257,2026-06-06,0.0000,3.1700,,2531307606.25,
000541,2026-06-05,29.4300,1.1200,,7694249189.06,
000543,2026-06-05,4.6000,1.1600,,20447106796.88,
000544,2026-06-05,2.2100,0.8200,,7690260951.56,
000078,2026-06-06,32.1300,3.7500,,4657087931.25,
000088,2026-06-06,6.7000,1.2400,,22825732290.63,
000089,2026-06-06,5.2300,1.1400,,13494063515.63,
000548,2026-06-05,15.4200,1.1500,,2381259276.56,
000550,2026-06-05,4.3300,1.2300,,14752326992.97,
000551,2026-06-05,5.9000,2.4100,,7329163078.13,
000552,2026-06-05,23.7100,0.9500,,15466745350.00,
000553,2026-06-05,2.4600,0.7800,,14025466546.88,
000554,2026-06-05,4.8100,2.7200,,3235738782.81,
600265,2026-06-06,0.0000,16.1900,,3428018000.00,
000557,2026-06-05,11.6300,0.9500,,6052254953.13,
000558,2026-06-05,113.1400,4.4300,,4654098583.59,
000559,2026-06-05,20.2300,5.6900,,49929298068.75,
000560,2026-06-05,110.6300,0.6500,,6030082000.00,
000096,2026-06-06,34.9800,1.5500,,4276800000.00,
000563,2026-06-05,5.2200,0.8100,,15137352125.00,
000099,2026-06-06,12.6600,2.1100,,11791707562.50,
000565,2026-06-05,11.6200,2.2500,,2887723968.75,
000100,2026-06-06,6.5400,1.6200,,101716217625.00,
000567,2026-06-05,2.6900,1.8800,,11297542843.75,
000570,2026-06-05,5.2400,1.1000,,3895422600.00,
000151,2026-06-06,29.1000,5.5800,,4881106480.86,
000153,2026-06-06,7.0300,1.1900,,2602238843.75,
000573,2026-06-05,6.6700,1.7000,,2782903354.69,
000576,2026-06-05,167.7000,1.9600,,3242587249.22,
000581,2026-06-05,4.8200,0.8900,,18049889077.34,
000155,2026-06-06,9.2500,2.3000,,24683269920.31,
000589,2026-06-05,3.9400,0.7700,,7103563014.06,
000156,2026-06-06,11.0200,0.8200,,12414647750.00,
000591,2026-06-05,11.2000,0.8600,,20539506068.75,
000157,2026-06-06,7.3600,1.1200,,65036983200.00,
000593,2026-06-05,49.4800,8.2000,,7255105446.09,
000595,2026-06-05,408.5400,16.6400,,8050300239.84,
000596,2026-06-05,2.9000,1.7900,,46633092000.00,
000597,2026-06-05,23.7900,1.1400,,6336271968.75,
000598,2026-06-05,3.8900,1.0100,,20500140112.50,
000599,2026-06-05,27.3700,0.7900,,11572920000.00,
000601,2026-06-05,80.3500,2.0500,,8482817196.88,
000603,2026-06-05,25.8200,5.7300,,20498990131.25,
000605,2026-06-05,11.8500,1.0300,,2204116210.94,
600271,2026-06-06,0.0000,1.0400,,13526058218.75,
000159,2026-06-06,46.1300,1.6300,,3364802109.38,
000612,2026-06-05,2.6100,1.7300,,13304945025.00,
000166,2026-06-06,4.6000,0.9500,,108422961850.00,
000617,2026-06-05,5.8900,0.8700,,92666437237.50,
000301,2026-06-06,5.4700,2.2600,,78343105125.00,
000333,2026-06-06,4.9000,2.6700,,621370032543.75,
000623,2026-06-05,2.3400,0.6400,,20294344778.91,
000625,2026-06-05,22.6200,1.0300,,79303395000.00,
000626,2026-06-05,7.0100,1.8600,,4093545465.63,
000628,2026-06-05,1038.2000,8.4500,,18582770000.00,
000629,2026-06-05,42.6600,2.4800,,30660128812.50,
000631,2026-06-05,105.3200,1.3500,,7452000506.25,
000338,2026-06-06,8.7400,2.8400,,269565932950.00,
000633,2026-06-05,140.4300,10.7400,,2137340554.69,
000400,2026-06-06,21.2700,1.9200,,23621850339.84,
600280,2026-06-06,0.0000,14.4100,,3836338203.13,
000402,2026-06-06,2.5400,0.4400,,8757564900.00,
000650,2026-06-05,5.2700,1.1400,,7391674125.00,
000652,2026-06-05,51.0000,0.9900,,5297382079.69,
000655,2026-06-05,12.0500,1.2000,,4232868788.67,
000050,2026-06-06,0.0000,0.7800,,0.00,
000657,2026-06-05,17.3400,14.9500,,159730166687.50,
000403,2026-06-06,52.6700,1.4900,,12098559180.47,
000661,2026-06-05,10.1200,1.2500,,27915163125.00,
000404,2026-06-06,4.9600,1.3000,,5721087248.44,
000407,2026-06-06,10.2200,1.1900,,3678753993.75,
000408,2026-06-06,7.5800,6.7700,,119363029425.00,
000669,2026-06-05,427.0200,47.6400,,2884933431.25,
000409,2026-06-06,32.7600,3.9400,,6472516976.56,
000676,2026-06-05,15.7600,1.7000,,7268983792.19,
000677,2026-06-05,34.9100,3.4200,,1753875276.56,
600289,2026-06-06,0.0000,4.2200,,3798933698.44,
000411,2026-06-06,8.0300,1.1900,,6433631266.80,
