id,code,report_date,report_type,total_revenue,net_profit,revenue_growth,profit_growth,total_assets,total_liabilities,net_assets,roe,eps,bps,gross_margin,net_margin,debt_ratio,created_at
88,000029,2025-06-30,中报,637366221.35,102211870.41,,,5409969607.96,1905572820.06,0.00,0.0000,0.1018,0.0000,27.2400,16.0400,35.2200,2026-06-05 20:25:56.613423+00:00
89,000030,2026-03-31,一季报,3751777940.11,143384126.03,,,19690209602.77,9404037293.98,0.00,0.0000,0.0700,0.0000,10.7800,3.8200,47.7600,2026-06-05 20:25:56.613423+00:00
90,000030,2025-12-31,年报,17410397362.62,939635981.75,,,20016233831.85,9869837021.82,0.00,0.0000,0.4100,0.0000,12.4400,5.4000,49.3100,2026-06-05 20:25:56.613423+00:00
91,000030,2025-09-30,三季报,12142924440.15,584079892.91,,,18863204176.25,9062075700.81,0.00,0.0000,0.2557,0.0000,11.4500,4.8100,48.0400,2026-06-05 20:25:56.613423+00:00
92,000030,2025-06-30,中报,7856858122.27,398177580.50,,,18091822649.44,8509154505.56,0.00,0.0000,0.1767,0.0000,11.4200,5.0700,47.0300,2026-06-05 20:25:56.613423+00:00
93,000031,2026-03-31,一季报,7501585016.88,47628312.23,,,151838922290.54,116522576860.15,0.00,0.0000,-0.0500,0.0000,24.1700,0.6300,76.7400,2026-06-05 20:25:56.613423+00:00
94,000031,2025-12-31,年报,30892372928.84,-2223310273.32,,,157016387023.65,121329074080.09,0.00,0.0000,-0.5500,0.0000,31.8000,0.0000,77.2700,2026-06-05 20:25:56.613423+00:00
95,000031,2025-09-30,三季报,20647692779.68,129279955.16,,,167278325264.09,126113552977.76,0.00,0.0000,-0.1200,0.0000,35.5800,0.6300,75.3900,2026-06-05 20:25:56.613423+00:00
96,000031,2025-06-30,中报,15231451986.15,747624512.49,,,169389126120.97,127368571699.97,0.00,0.0000,0.0300,0.0000,36.3500,4.9100,75.1900,2026-06-05 20:25:56.613423+00:00
97,000032,2026-03-31,一季报,12813395816.39,-57575110.37,,,73308533053.36,60015386703.12,0.00,0.0000,-0.0678,0.0000,6.6400,0.0000,81.8700,2026-06-05 20:25:56.613423+00:00
98,000032,2025-12-31,年报,49170356917.15,128484685.04,,,73045450627.68,59706244780.51,0.00,0.0000,-0.1117,0.0000,9.7100,0.2600,81.7400,2026-06-05 20:25:56.613423+00:00
99,000032,2025-09-30,三季报,33018544969.16,-265991369.78,,,67215083222.08,55374088248.30,0.00,0.0000,-0.2626,0.0000,8.0000,0.0000,82.3800,2026-06-05 20:25:56.613423+00:00
100,000032,2025-06-30,中报,23434208172.61,23329148.30,,,67907205916.92,55890423801.18,0.00,0.0000,-0.0857,0.0000,9.2100,0.1000,82.3000,2026-06-05 20:25:56.613423+00:00
101,000034,2026-03-31,一季报,40557142015.74,255406346.69,,,56061255922.07,44029600032.97,0.00,0.0000,0.3358,0.0000,3.3700,0.6300,78.5400,2026-06-05 20:25:56.613423+00:00
102,000034,2025-12-31,年报,143751044503.13,558762965.03,,,57149969452.25,45358008559.85,0.00,0.0000,0.7711,0.0000,3.4000,0.3900,79.3700,2026-06-05 20:25:56.613423+00:00
103,000034,2025-09-30,三季报,102365346044.23,697576321.52,,,50371324408.40,38471053455.31,0.00,0.0000,0.9941,0.0000,3.5500,0.6800,76.3700,2026-06-05 20:25:56.613423+00:00
104,000034,2025-06-30,中报,71585506815.36,450952318.81,,,48445522968.47,36868223718.42,0.00,0.0000,0.6382,0.0000,3.4900,0.6300,76.1000,2026-06-05 20:25:56.613423+00:00
105,000035,2026-03-31,一季报,1162062941.09,121066866.85,,,32370590117.48,21406185042.52,0.00,0.0000,0.0500,0.0000,36.5900,10.4200,66.1300,2026-06-05 20:25:56.613423+00:00
106,000035,2025-12-31,年报,5283464987.58,295455537.43,,,32067826798.82,21114168247.40,0.00,0.0000,0.1200,0.0000,29.1700,5.5900,65.8400,2026-06-05 20:25:56.613423+00:00
107,000035,2025-09-30,三季报,3942265178.09,326600615.48,,,32407606012.26,21264466534.01,0.00,0.0000,0.1300,0.0000,31.6200,8.2800,65.6200,2026-06-05 20:25:56.613423+00:00
108,000035,2025-06-30,中报,2576771813.52,215034456.66,,,31876582304.10,20858574973.59,0.00,0.0000,0.0900,0.0000,30.8800,8.3500,65.4400,2026-06-05 20:25:56.613423+00:00
17,000002,2026-03-31,一季报,28927889365.26,-6091604755.82,,,997406724022.05,769344739328.43,0.00,0.0000,-0.4989,0.0000,9.1500,0.0000,77.1300,2026-06-05 20:22:51.749770+00:00
18,000002,2025-12-31,年报,233432768960.43,-91810091101.49,,,1020622831532.86,784762773496.17,0.00,0.0000,-7.4453,0.0000,9.4600,0.0000,76.8900,2026-06-05 20:22:51.749770+00:00
19,000002,2025-09-30,三季报,161388415447.04,-28236658916.01,,,1136594565755.29,835564493176.11,0.00,0.0000,-2.3578,0.0000,9.5800,0.0000,73.5100,2026-06-05 20:22:51.749770+00:00
20,000002,2025-06-30,中报,105323304409.14,-10864982511.25,,,1194148874774.55,872988331813.49,0.00,0.0000,-1.0075,0.0000,9.9700,0.0000,73.1100,2026-06-05 20:22:51.749770+00:00
161,000001,2025-03-31,一季报,33709000000.00,14096000000.00,,,5777858000000.00,5271746000000.00,506112000000.00,2.7900,0.6200,0.0000,0.0000,41.8200,91.2400,2026-06-06 04:14:53.607898+00:00
162,000001,2024-12-31,年报,146695000000.00,44508000000.00,,,5769270000000.00,5274428000000.00,494842000000.00,8.9900,2.1500,0.0000,0.0000,30.3400,91.4200,2026-06-06 04:14:53.607898+00:00
